  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 521    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 522    4    0   40.00  50.00     2      5    4      2      4     3    75.00
 523    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 524    1    0   50.00  50.00     1      2    2      0      1     1   100.00
 525    6    0   16.67  20.00     1      6    5      0      6     5    83.33
 526    3    0   20.00  25.00     1      5    4      0      3     2    66.67
 527    5    0   44.44  66.67     4      9    6      1      5     5   100.00
 528    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 529    9    0   33.33  27.27     3      9   11      4      9     9   100.00
 530    1    0  100.00 100.00     2      2    2      0      1     1   100.00
 531    6    0   60.00  33.33     3      5    9      1      6     5    83.33
 532    5    0   28.57  40.00     2      7    5      0      5     5   100.00
 533    2    0   50.00  25.00     1      2    4      0      2     1    50.00
 534    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 535    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 536    7    0   12.50  10.00     1      8   10      3      7     6    85.71
 537    9    0   25.00  18.18     2      8   11      4      9     8    88.89
 538    2    0   50.00 100.00     2      4    2      0      2     1    50.00
 539    4    0   20.00  25.00     1      5    4      1      4     3    75.00
 540    9    0   16.67  18.18     2     12   11      5      9     8    88.89
 541    2    0  100.00  50.00     2      2    4      0      2     1    50.00
 542    7    0   10.00  20.00     1     10    5      2      7     6    85.71
 543    2    0  100.00 100.00     2      2    2      0      2     2   100.00
